M,C,d,L,R,T,N
0.988,24.278,0.565,83.887,1.157,2025-01-02 19:56:59,13.0
0.971,24.384,0.962,83.705,1.127,2025-01-02 19:56:59,13.0
1.009,24.235,0.535,84.024,1.094,2025-01-02 19:56:59,13.0
1.011,24.377,0.424,84.448,1.149,2025-01-02 20:42:01,14.0
0.982,24.252,0.662,84.176,0.959,2025-01-02 20:42:01,14.0
0.976,24.344,0.395,84.218,1.056,2025-01-02 20:42:01,14.0
0.969,24.342,0.35,83.877,1.055,2025-01-02 20:42:01,14.0
0.983,24.233,0.406,83.897,1.093,2025-01-02 20:42:01,14.0
0.998,24.272,0.395,84.43,1.124,2025-01-02 20:42:01,14.0
0.995,24.339,0.434,84.126,1.052,2025-01-02 20:42:01,14.0
0.99,24.338,0.381,83.99,1.031,2025-01-02 20:42:01,14.0
0.974,24.264,0.476,83.738,1.13,2025-01-02 20:42:01,14.0
0.991,24.345,0.276,84.202,1.131,2025-01-02 20:42:01,14.0
0.995,24.303,0.713,83.927,1.086,2025-01-02 20:42:01,14.0
0.964,24.129,0.592,84.06,1.09,2025-01-02 20:42:01,14.0
0.956,24.157,0.798,83.883,1.07,2025-01-02 20:42:01,14.0
0.991,24.304,0.506,83.879,1.067,2025-01-02 20:42:01,14.0
0.998,24.258,0.29,84.213,1.184,2025-01-02 20:42:01,14.0
0.968,24.28,0.489,83.838,1.096,2025-01-02 20:42:01,14.0
0.982,24.232,0.391,84.077,1.121,2025-01-02 20:42:01,14.0
0.982,24.219,0.404,83.849,1.079,2025-01-02 20:42:01,14.0
0.97,24.239,0.35,84.038,1.11,2025-01-02 20:42:01,14.0
0.957,24.25,0.278,83.629,1.131,2025-01-02 20:42:01,14.0
0.959,24.301,0.71,83.903,1.042,2025-01-02 20:47:02,15.0
1.015,24.293,0.487,83.846,1.063,2025-01-02 20:47:02,15.0
0.967,24.287,0.54,83.69,1.063,2025-01-02 20:47:02,15.0
0.989,24.314,0.646,84.055,1.071,2025-01-02 20:47:02,15.0
